Measurement number	length	width	depth	ratio	circularity	volume	crease_depth	surface_area	x	y	z	geometry_ratio	grain_count	Plant number	Plant section	Number of slices	Resolution	RIL ID
1501	4.824799999999999	1.4092002316329897	0.6552183231197679	3.4237859827833	0.5325568495802929	1.8693988075519998	0.24590107005697304	13.080484693333302	241.23924141949402	228.531020226964	989.957162393101	0.6260554211557549	4	BD_01505	all	713	29.6	bd21
1501	4.7952	1.42661059949724	0.7487904208437871	3.36125359063637	0.546577572149294	2.239611453952	0.3233721690805631	16.30358528	258.180798091621	235.951456760387	882.2282755297149	0.5187751008554714	4	BD_01505	all	713	29.6	bd21
1501	4.913600000000001	1.4374074315317702	0.7001007707676759	3.41837664966281	0.5476222482710791	2.201487980032	0.2935847142775901	15.62368512	266.359913767715	216.25733033326702	760.0862761936011	0.5880292850900953	4	BD_01505	all	713	29.6	bd21
1501	3.7296	0.79629972950108	0.448030792392527	4.6836635274719605	0.8671622219666478	1.2221555840000002	0.047380484248212	8.9017856	266.23779310344804	148.601676392573	728.5279980642653	0.794017878923882	4	BD_01505	all	713	29.6	bd21
1503	4.6768	1.4538990137492895	0.7477388375295622	3.21672960485717	0.5892765290446988	2.280561770496001	0.231233595679751	15.4356027733333	273.723890101892	183.68253047671	1127.933869079452	0.49625230816343985	2	BD_01505	all	612	29.6	bd21
1503	4.7064	1.50480040615524	0.7408098149441291	3.127590862382111	0.5576516966330003	2.4257681177599997	0.28430129883649	17.1996049066667	249.83388036563903	210.86316352167597	921.5266488661961	0.503566976476026	2	BD_01505	all	612	29.6	bd21
1505	4.3808	1.3552687920082498	0.6228768340105101	3.23242151360136	0.579181530859678	1.6605755340800004	0.197034719589717	12.692637866666702	248.58032172419198	326.632922067781	1244.734283128751	0.5826333961221389	4	BD_01505	all	612	29.6	bd21
1505	5.0024	1.3775802046234	0.6609458126650282	3.63129492076836	0.5180642885034981	1.9400698731519999	0.28159158037894105	13.230015999999999	218.31257769994795	276.308928308848	1149.437364910209	0.6569479490028978	4	BD_01505	all	612	29.6	bd21
1505	4.6175999999999995	1.3786177134669402	0.6767532280868429	3.34944194818714	0.541561010316693	1.957108731904	0.224084893001905	14.207810559999999	236.54892399024698	316.04580992261197	1082.969995093431	0.5638615820803975	4	BD_01505	all	612	29.6	bd21
1505	4.588	1.5135709033604599	0.8678422334365412	3.0312422033309696	0.5374215528434931	2.5024559493119996	0.377076257459493	17.7288055466667	230.758259752104	307.0439621937571	967.6710476596681	0.383136763971108	4	BD_01505	all	612	29.6	bd21
